x y color name
-0.056391379567542206 0.007005599788039428 blue Lh01
-0.028843288625919346 -0.054749448608522884 blue Lh01_2
-0.053986504791230995 -0.0003608191288661006 blue Lh01_3
-0.04531523750552667 -0.021168101868283534 blue Lh02
0.058026225202897054 0.004306755114773683 red Lh02_2
0.06190310807013106 0.02239639952172704 red Lh02_3
-0.07185444949208449 0.06610662017777019 blue Lh03
-0.06181143872884636 0.023543039684853412 blue Lh04
-0.07217127320015164 0.06698034132457065 blue Lh05
-0.06458412771910621 0.03478164135422095 blue Lh05_2
-0.059747646675723326 0.01797775830834773 blue Lh05_3
-0.02608998430303833 -0.05028180391323894 blue Lh05_4
-0.06954312399661125 0.05498042056717639 blue Lh06
-0.07323835084056694 0.07206913229663277 blue Lh07
-0.06758610693793886 0.04724287276282416 blue Lh08
-0.06352919938917082 0.029346303040882787 blue Lh08_2
-0.030728960169619735 -0.053580763026031285 blue Lh08_3
-0.03540314730672525 -0.044255958049309416 blue Lh08_4
-0.07396291625617257 0.07532365871518786 blue Lh09
-0.07403777328239423 0.07574260274133429 blue Lh10
0.05767138440159565 0.008706497887712277 red Ll01
0.020380561629110016 -0.07522406713063787 red Ll03
0.04788531328908521 -0.031781179029044676 red Ll04_2
-0.03950913673211877 -0.03531122486194193 blue Ll05
0.07497453374592289 0.08746665971277147 red Ll06
0.07548131169109272 0.0890407176360635 red Ll06_2
0.07154678458799205 0.06703032523121179 red Ll06_3
0.07482854418677581 0.0867985165050888 red Ll07
0.04042409846811984 -0.053697056652384334 red Ll07_2
-0.0072872917735540485 -0.07824579938295158 blue Ll08
0.035347215492897356 -0.06277313426546752 red Ll09
0.026348270873711648 -0.06871997761874697 red Ll09_2
0.011464617610314656 -0.08022481673246247 red Ll09_3
0.07515899405447328 0.08771462989655412 red Ll09_4
0.05468306919921784 -0.006768511574582785 red Ll09_5
-0.047635152896039624 -0.014101021439047455 blue Ll10
-0.04524802783688746 -0.022509215170577468 blue Lm01
0.042054166693444424 -0.03344859102304416 red Lm02
0.07649227500126267 0.09535491255726172 red Lm02_2
0.07256566980008658 0.07292833359828614 red Lm02_3
0.0654216168437208 0.03650988316107458 red Lm03
-0.05729696722995465 0.015424083977250072 blue Lm04
0.0022747046803257903 -0.07288743612382527 red Lm04_2
0.054431383498932555 -0.00346928007339056 red Lm04_3
-0.032081367268931356 -0.05333111949700923 blue Lm05
0.04168105668775468 -0.04757452789824361 red Lm05_2
0.07594105150013686 0.09172045151588121 red Lm05_3
-0.04422013384914642 -0.02609353420888228 blue Lm06
0.04575945492848112 -0.041205634736545454 red Lm06_2
0.06380064054025243 0.03154510709469974 red Lm06_3
-0.06553843100370106 0.03751340843737992 blue Lm07
0.01038638383409325 -0.08119309256484873 red Lm07_2
0.06733646020602779 0.046065087169144016 red Lm07_3
-0.06468242992016124 0.03524524767732579 blue Lm08
-0.059651706475084006 0.016966197285654367 blue Lm09
-0.0733161811775246 0.07253943757403818 blue Lm10
0.055772186385188105 0.000847025236946547 red S01
0.032947643539373773 -0.0651985733909299 red S01_2
0.06866326168429183 0.05240027483437071 red S02
-0.003871614881088943 -0.07984233646740449 blue S03
0.001937235009699146 -0.08415322981378273 red S04
-0.06369964260499629 0.02997453289886061 blue S05
0.01945839497297358 -0.07376988024673173 red S06
-0.011411341753520696 -0.07452678748606723 blue S07
0.04733328100656054 -0.023416346801579033 red S08
-0.06179304296824512 0.02549405540702823 blue S09
-0.020708073131352443 -0.06815373922054563 blue S10
0.04961063327210995 -0.028230433411397776 red S10_2
