frequency (GHz), flux (Jy/beam)
   3.45823207e+02  -1.50560038e-04
   3.45823695e+02  -5.61045345e-05
   3.45824184e+02   1.95011708e-05
   3.45824672e+02   5.93293080e-05
   3.45825160e+02  -1.00633966e-04
   3.45825649e+02   4.92225226e-05
   3.45826137e+02   3.13037541e-04
   3.45826625e+02   3.23462649e-04
   3.45827114e+02   3.55471420e-04
   3.45827602e+02  -2.36288033e-05
   3.45828090e+02  -6.66322070e-04
   3.45828579e+02  -5.95127989e-04
   3.45829067e+02   1.37455077e-04
   3.45829555e+02   5.18876710e-04
   3.45830044e+02   1.69716761e-04
   3.45830532e+02  -2.13686770e-04
   3.45831020e+02  -3.07860959e-04
   3.45831508e+02  -1.07974833e-04
   3.45831997e+02   1.63915000e-04
   3.45832485e+02   1.58856565e-04
   3.45832973e+02   4.94514352e-05
   3.45833462e+02   1.92313873e-05
   3.45833950e+02  -4.87198631e-05
   3.45834438e+02  -9.05731649e-05
   3.45834927e+02   2.69090087e-04
   3.45835415e+02   6.59437675e-04
   3.45835903e+02   5.02397248e-04
   3.45836392e+02   1.31405206e-04
   3.45836880e+02  -7.17471630e-05
   3.45837368e+02  -1.83555589e-04
   3.45837856e+02  -2.32101098e-04
   3.45838345e+02   7.24995771e-05
   3.45838833e+02   6.09065522e-04
   3.45839321e+02   7.92820007e-04
   3.45839810e+02   5.48674376e-04
   3.45840298e+02   8.13875595e-05
   3.45840786e+02  -2.94713478e-04
   3.45841275e+02  -4.11876303e-04
   3.45841763e+02  -3.63229017e-04
   3.45842251e+02  -2.22353628e-04
   3.45842740e+02  -6.58771605e-05
   3.45843228e+02  -1.66422178e-05
   3.45843716e+02  -1.76888789e-04
   3.45844204e+02  -4.07970714e-04
   3.45844693e+02  -5.32528327e-04
   3.45845181e+02  -6.16257312e-04
   3.45845669e+02  -7.92636827e-04
   3.45846158e+02  -6.73769042e-04
   3.45846646e+02  -6.64820109e-05
   3.45847134e+02   3.39829188e-04
   3.45847623e+02   4.04420309e-04
   3.45848111e+02   4.73411899e-04
   3.45848599e+02   4.08471853e-04
   3.45849088e+02   1.00307545e-04
   3.45849576e+02  -1.93623142e-04
   3.45850064e+02  -2.49912206e-04
   3.45850552e+02   2.04172931e-04
   3.45851041e+02   6.48369838e-04
   3.45851529e+02   1.05628591e-04
   3.45852017e+02  -5.59219625e-04
   3.45852506e+02  -3.38855345e-04
   3.45852994e+02  -5.71250494e-05
   3.45853482e+02  -1.05053354e-04
   3.45853971e+02  -1.27342428e-04
   3.45854459e+02  -2.15777123e-04
   3.45854947e+02  -3.60674341e-04
   3.45855436e+02  -2.10122365e-04
   3.45855924e+02   1.23906299e-04
   3.45856412e+02   2.65068287e-04
   3.45856900e+02   2.34470906e-04
   3.45857389e+02  -6.32063675e-05
   3.45857877e+02  -2.87428615e-04
   3.45858365e+02   1.16266610e-05
   3.45858854e+02   4.26980812e-04
   3.45859342e+02   5.94322162e-04
   3.45859830e+02   6.78975368e-04
   3.45860319e+02   4.93201078e-04
   3.45860807e+02  -1.90671726e-05
   3.45861295e+02  -3.80619254e-04
   3.45861784e+02  -5.58622822e-04
   3.45862272e+02  -4.96814318e-04
   3.45862760e+02  -1.56204143e-04
   3.45863248e+02   6.96294010e-05
   3.45863737e+02   4.55720801e-05
   3.45864225e+02  -2.49289093e-04
   3.45864713e+02  -3.90598521e-04
   3.45865202e+02  -5.27558368e-05
   3.45865690e+02   3.89002002e-04
   3.45866178e+02   6.04394358e-04
   3.45866667e+02   2.96435872e-04
   3.45867155e+02  -3.04043177e-04
   3.45867643e+02  -5.51557925e-04
   3.45868132e+02  -4.00504592e-04
   3.45868620e+02  -1.55457266e-04
   3.45869108e+02   2.17593741e-04
   3.45869597e+02   4.74128174e-04
   3.45870085e+02   2.41146074e-04
   3.45870573e+02  -2.06360739e-04
   3.45871061e+02  -6.27884350e-04
   3.45871550e+02  -6.86758023e-04
   3.45872038e+02  -3.27308255e-04
   3.45872526e+02  -1.96598950e-04
   3.45873015e+02  -3.00183747e-04
   3.45873503e+02  -2.19636408e-04
   3.45873991e+02   7.10587847e-05
   3.45874480e+02   3.73654795e-04
   3.45874968e+02   3.64960200e-04
   3.45875456e+02   1.70464293e-04
   3.45875945e+02   2.97664064e-05
   3.45876433e+02   7.78669782e-05
   3.45876921e+02   4.23780642e-04
   3.45877409e+02   7.00847537e-04
   3.45877898e+02   6.90163812e-04
   3.45878386e+02   5.70548698e-04
   3.45878874e+02   2.18031448e-04
   3.45879363e+02  -3.66634340e-04
   3.45879851e+02  -4.49302024e-04
   3.45880339e+02   1.44294638e-04
   3.45880828e+02   5.38951659e-04
   3.45881316e+02   4.69982100e-04
   3.45881804e+02   1.31473280e-04
   3.45882293e+02  -1.72954286e-04
   3.45882781e+02  -9.92671849e-05
   3.45883269e+02   7.73084685e-05
   3.45883757e+02   8.28697812e-05
   3.45884246e+02   4.89635931e-05
   3.45884734e+02  -1.89376915e-05
   3.45885222e+02   2.17563302e-05
   3.45885711e+02   2.21615031e-04
   3.45886199e+02   9.17901707e-05
   3.45886687e+02  -1.44357080e-04
   3.45887176e+02  -8.79179497e-05
   3.45887664e+02  -9.67601154e-05
   3.45888152e+02   2.21966166e-05
   3.45888641e+02   4.79102280e-04
   3.45889129e+02   5.82285807e-04
   3.45889617e+02   3.12403019e-04
   3.45890105e+02   2.23786672e-04
   3.45890594e+02   2.03763673e-04
   3.45891082e+02   2.10860264e-04
   3.45891570e+02   4.13858565e-04
   3.45892059e+02   6.43888605e-04
   3.45892547e+02   6.36660203e-04
   3.45893035e+02   3.70110705e-04
   3.45893524e+02  -3.59101359e-05
   3.45894012e+02  -2.07943580e-04
   3.45894500e+02   9.19593949e-05
   3.45894989e+02   3.06867936e-04
   3.45895477e+02   7.51433690e-05
   3.45895965e+02  -4.07041312e-04
   3.45896453e+02  -6.79011922e-04
   3.45896942e+02  -5.83354500e-04
   3.45897430e+02  -5.44000010e-04
